Activity,date,time,user1_lat,user1_long,user1_altituide,user1_velocity,user1_ax,user1_ay,user1_az,user1_gx,user1_gy,user1_gz,user2_lat,user2_long,user2_altituide,user2_velocity,user2_ax,user2_ay,user2_az,user2_gx,user2_gy,user2_gz,Distance
Sitting,9/10/2021,15:31:35,37.6021337,126.8648657,5.2,0,0.3,-0.2,0.1,0,0,0,37.6021944,126.8648445,28.06472243,0,0.1,-0.1,0.1,0.1,0,-0.2,7.003159728
Sitting,9/10/2021,15:31:36,37.6021337,126.8648657,5.2,0,0,0,0,-0.1,0,0,37.6021944,126.8648445,28.06472243,0,0,0,0,0,0,0,7.003159728
Sitting,9/10/2021,15:31:37,37.6021337,126.8648657,5.2,0,0,-0.1,0.1,0,0,0,37.6021944,126.8648445,28.06472243,0,0,0,0.1,0,0,0,7.003159728
Sitting,9/10/2021,15:31:38,37.6021337,126.8648657,5.2,0,0,0,0.1,0,0,0,37.6021919,126.8648446,42.71395358,0.0478641,0.1,0,-0.1,0,0.1,0,6.733210674
Sitting,9/10/2021,15:31:39,37.6021337,126.8648657,5.2,0,0.1,0,0.1,0,0,0,37.6021919,126.8648446,42.71395358,0.0478641,-0.2,0,-0.2,0,0,0,6.733210674
Sitting,9/10/2021,15:31:40,37.6021337,126.8648657,5.2,0,0,0,0,0,0,0,37.6021919,126.8648446,42.71395358,0.0478641,0.3,0,0,0,0.1,-0.2,6.733210674
Sitting,9/10/2021,15:31:41,37.6021337,126.8648657,5.2,0,0,0,0.1,0,0,0,37.6021919,126.8648446,42.71395358,0.0478641,0.1,0.1,0.1,0,0,-0.1,6.733210674
Sitting,9/10/2021,15:31:42,37.6021337,126.8648657,5.2,0,0.1,0,0,0,-0.1,0,37.6021919,126.8648446,42.71395358,0.0478641,0,0,0,0,0,0.1,6.733210674
Sitting,9/10/2021,15:31:43,37.6021337,126.8648657,5.2,0,0.2,0,-0.1,0,-0.1,0,37.6021919,126.8648446,42.71395358,0.0478641,0,-0.1,0.2,0.1,0,0,6.733210674
Sitting,9/10/2021,15:31:44,37.6021337,126.8648657,5.2,0,0.1,0,0.1,0,0,0,37.6021786,126.8648785,42.08691329,0.9363099,0,0.5,-0.3,-0.2,0,-0.4,5.11841028
Sitting,9/10/2021,15:31:45,37.6021337,126.8648657,5.2,0,0.1,-0.1,0.2,0,0.1,0,37.6021786,126.8648785,42.08691329,0.9363099,0.4,0.1,0.2,0,0.1,-0.1,5.11841028
Sitting,9/10/2021,15:31:46,37.6021337,126.8648657,5.2,0,0.1,0,0.1,0,0,0,37.6021786,126.8648785,42.08691329,0.9363099,0.1,-0.1,0,0,0.2,0.2,5.11841028
