Activity,date,time,user1_lat,user1_long,user1_altituide,user1_velocity,user1_ax,user1_ay,user1_az,user1_gx,user1_gy,user1_gz,user2_lat,user2_long,user2_altituide,user2_velocity,user2_ax,user2_ay,user2_az,user2_gx,user2_gy,user2_gz,Distance
Standing,9/10/2021,15:56:38,37.6021536,126.8649469,11.2,0.07,0.3,-0.1,0,0,-0.1,0,37.6022178,126.8649444,26.23636241,0,0,0,-0.1,0.1,0.3,0,7.142110849
Standing,9/10/2021,15:56:39,37.6021831,126.864904,6.1,0.1203569,0.2,-0.1,0,0,-0.1,0,37.6022178,126.8649444,26.23636241,0,0,-0.1,0,0,0.1,0,5.249264548
Standing,9/10/2021,15:56:40,37.6021831,126.864904,6.1,0.1203569,0,-0.1,0.1,0,0.1,0,37.6022178,126.8649444,26.23636241,0,0.2,-0.1,-0.2,0.1,0.4,0,5.249264548
Standing,9/10/2021,15:56:41,37.6021831,126.864904,6.1,0.1203569,0,-0.2,-0.1,0,0,0,37.6022178,126.8649444,26.23636241,0,0.4,0,0,0,0.4,0.1,5.249264548
Standing,9/10/2021,15:56:42,37.6021743,126.8648586,3.8,0.7587186,-0.1,-0.1,0.1,0,0,0,37.6022252,126.8649666,37.88589876,0.3799231,0.1,-0.1,0.1,0.1,0.3,-0.1,11.07053512
Standing,9/10/2021,15:56:43,37.6021743,126.8648586,3.8,0.7587186,-0.1,-0.1,0,0,0,0,37.6022252,126.8649666,37.88589876,0.3799231,0.1,-0.1,-0.3,0.1,1,-0.1,11.07053512
Standing,9/10/2021,15:56:44,37.6021743,126.8648586,3.8,0.7587186,0,-0.1,0,0,0,0,37.6022252,126.8649666,37.88589876,0.3799231,-0.3,-0.5,0.4,0.1,-1.1,0,11.07053512
Standing,9/10/2021,15:56:45,37.6021729,126.8648547,3.8,0.1324747,0,-0.1,0,0,0.1,0,37.6022252,126.8649666,37.88589876,0.3799231,-0.1,-0.1,-0.1,0,0,-0.1,11.44547828
Standing,9/10/2021,15:56:46,37.6021729,126.8648547,3.8,0.1324747,-0.4,-0.2,0,0.3,-0.5,0,37.6022252,126.8649666,37.88589876,0.3799231,0.1,-0.1,0,0,0.3,0,11.44547828
Standing,9/10/2021,15:56:47,37.6021729,126.8648547,3.8,0.1324747,-0.2,0.4,-0.4,-0.3,0.6,0,37.6022252,126.8649764,37.30903774,0.2624296,0,-0.1,0,0,-0.1,-0.1,12.19696077
Standing,9/10/2021,15:56:48,37.6021835,126.8648564,2.9,0.1226139,0.7,-0.4,0,0,-0.3,0.1,37.6022252,126.8649764,37.30903774,0.2624296,0.2,0,-0.1,0,0.2,0.1,11.54370645
Standing,9/10/2021,15:56:49,37.6021835,126.8648564,2.9,0.1226139,-0.2,-0.3,0,-0.1,0.5,-0.1,37.6022252,126.8649764,37.30903774,0.2624296,-0.2,-0.1,0.2,-0.1,-0.4,-0.1,11.54370645
Standing,9/10/2021,15:56:50,37.6021835,126.8648564,2.9,0.1226139,0.1,-0.1,0,0.1,-0.2,0.1,37.6022252,126.8649764,37.30903774,0.2624296,-0.2,0.1,0.2,-0.2,-0.3,-0.1,11.54370645
Standing,9/10/2021,15:56:51,37.6021724,126.864865,4.9,0.0081689,0,0,-0.1,0.1,-0.3,0,37.6022252,126.8649764,37.30903774,0.2624296,0,-0.2,-0.1,0,-0.3,-0.1,11.43600513
Standing,9/10/2021,15:56:52,37.6021724,126.864865,4.9,0.0081689,-0.2,-0.1,0,-0.1,0.2,0,37.602219,126.8649741,37.20073514,0.1501194,-0.6,-0.8,-0.6,0.5,-1.3,0.5,10.91908427
Standing,9/10/2021,15:56:53,37.6021724,126.864865,4.9,0.0081689,0.2,-0.1,0,-0.1,-0.1,0,37.602219,126.8649741,37.20073514,0.1501194,-0.8,-0.4,0.1,-0.1,-1.2,-0.1,10.91908427
Standing,9/10/2021,15:56:54,37.6021648,126.86487,4.9,0.1293236,-0.4,-0.3,-0.1,-0.1,0,-0.1,37.602219,126.8649741,37.20073514,0.1501194,-0.2,0,0.3,-0.1,-0.6,0,10.97384796
Standing,9/10/2021,15:56:55,37.6021648,126.86487,4.9,0.1293236,0,-0.3,1,0.1,0.1,-0.1,37.602219,126.8649741,37.20073514,0.1501194,0,-0.1,0,0,0,0,10.97384796
Standing,9/10/2021,15:56:56,37.6021648,126.86487,4.9,0.1293236,0.3,-0.1,0,0,0,0,37.602219,126.8649741,37.20073514,0.1501194,0,0,0,0,0,0,10.97384796
Standing,9/10/2021,15:56:57,37.6021652,126.8648697,4.9,0.0027848,-0.1,-0.1,0,0,0.3,0,37.6022243,126.8649747,37.42848378,0.1192862,0,0,0.3,-0.2,-0.3,0.1,11.34681241
Standing,9/10/2021,15:56:58,37.6021652,126.8648697,4.9,0.0027848,-0.1,-0.1,-0.1,0,-0.1,0,37.6022243,126.8649747,37.42848378,0.1192862,0,-0.2,0.1,0,0,0,11.34681241
